"id","aliases","published","modified","summary","databaseSeverity","matchedCoordinates","prodReleaseCoordinates","disposition","references","verificationDate","evidenceStatus"
"GHSA-4mp9-239f-g9hg","CVE-2026-59898","7/22/2026 9:48:59 PM","2026-09-10T03:51:10.413004153Z","Netty: WebSockets V07/V08 handshaker missing Connection/Upgrade validation","MODERATE","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-4mp9-239f-g9hg","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-558v-64gr-wgg4","CVE-2026-59901","7/22/2026 9:50:47 PM","2026-09-10T03:50:12.358146459Z","Netty: [Bzip2Decoder] Infinite Loop in RLE State Machine Leads to Event-Loop Thread Hang","HIGH","io.netty:netty-codec:4.1.110.Final; io.netty:netty-codec:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-558v-64gr-wgg4","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-563q-j3cm-6jxm","CVE-2026-50560","6/15/2026 8:46:56 PM","2026-09-10T03:50:48.396944762Z","Netty susceptible to HTTP/2 Reset Attack with different on-the-wire signature","MODERATE","io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-codec-http2:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-563q-j3cm-6jxm","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-574f-3g2m-x479","CVE-2025-14813","4/17/2026 6:31:50 PM","2026-09-24T15:30:06.452617383Z","Bouncy Castle for Java GOST 28147 CTR mode reuses keystream after 255 blocks","CRITICAL","org.bouncycastle:bcprov-jdk18on:1.78.1; org.bouncycastle:bcprov-jdk18on:1.79","org.bouncycastle:bcprov-jdk18on:1.78.1","Update through WP5a; direct source uses Argon2 only; affected GOST/LDAP/PKIX/ASN.1 paths not identified; transitive/R8 reachability remains open","https://github.com/bcgit/bc-java/commit/b42574345414e4b7c8051b16fa1fafe01c29871f; https://github.com/bcgit/bc-java/commit/701686cb0184cd9ae103c801b3581fdf95c6d4f3; https://github.com/bcgit/bc-java/wiki/CVE%E2%80%902025%E2%80%9014813","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-57rv-r2g8-2cj3","CVE-2026-42584","5/7/2026 12:21:48 AM","2026-09-10T03:51:04.645242629Z","Netty has HttpClientCodec response desynchronization","HIGH","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-57rv-r2g8-2cj3","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-5jpm-x58v-624v","CVE-2024-29025","3/25/2024 7:40:50 PM","2026-09-10T03:50:10.174704931Z","Netty's HttpPostRequestDecoder can OOM","MODERATE","io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-5jpm-x58v-624v","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-5x3r-wrvg-rp6q","CVE-2026-47244","6/8/2026 11:02:40 PM","2026-09-10T03:50:48.488084830Z","Netty HTTP/2: Advertised MAX_CONCURRENT_STREAMS are not enforced","MODERATE","io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-codec-http2:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-5x3r-wrvg-rp6q","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-6cqp-g7gg-8hr5","CVE-2026-56746","7/22/2026 9:42:17 PM","2026-09-10T03:51:10.615779608Z","Netty: Security Control Bypass via CORS Short-Circuit Failure","MODERATE","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-6cqp-g7gg-8hr5","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-6jqx-86gh-f27w","CVE-2026-55831","7/22/2026 9:07:36 PM","2026-09-10T03:51:10.812069139Z","Netty SPDY SETTINGS frame count materializes unbounded settings map","HIGH","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-6jqx-86gh-f27w","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-6mjq-h674-j845","CVE-2023-34462","6/20/2023 4:33:22 PM","2026-09-10T03:50:02.086375075Z","netty-handler SniHandler 16MB allocation","MODERATE","io.netty:netty-handler:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-6mjq-h674-j845","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-735f-pc8j-v9w8","CVE-2024-7254","9/19/2024 4:06:03 PM","2026-09-10T03:50:19.212518465Z","protobuf-java has potential Denial of Service issue","HIGH","com.google.protobuf:protobuf-java:3.24.4; com.google.protobuf:protobuf-kotlin:3.24.4","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/protocolbuffers/protobuf/security/advisories/GHSA-735f-pc8j-v9w8","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-84h7-rjj3-6jx4","CVE-2025-67735","12/15/2025 11:28:49 PM","2026-09-10T03:50:31.724062875Z","Netty has a CRLF Injection vulnerability in io.netty.handler.codec.http.HttpRequestEncoder","MODERATE","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-84h7-rjj3-6jx4","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-8c42-7qj2-3j46","CVE-2026-59903","8/17/2026 6:24:26 PM","2026-09-10T03:51:13.389261985Z","Netty Vulnerable to Cache Poisoning and Information Disclosure via CORS Vary Header Overwrite","MODERATE","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-8c42-7qj2-3j46","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-93wv-jw9v-4972","CVE-2026-56819","7/31/2026 4:51:50 PM","2026-09-10T03:51:11.318239719Z","Netty: HTTP/2 decompression leaks ByteBuf reference count when the decompressor channel is already closed (Direct memory leak / OOM DoS)","HIGH","io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-codec-http2:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-93wv-jw9v-4972","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-9pwp-9qqc-pr26","CVE-2026-8763","8/3/2026 3:31:56 AM","2026-09-18T17:45:06.105254943Z","Bouncy Castle: Name Constraints bypass via trailing dot in rfc822Name and URI","CRITICAL","org.bouncycastle:bcprov-jdk18on:1.78.1; org.bouncycastle:bcprov-jdk18on:1.79","org.bouncycastle:bcprov-jdk18on:1.78.1","Update through WP5a; direct source uses Argon2 only; affected GOST/LDAP/PKIX/ASN.1 paths not identified; transitive/R8 reachability remains open","https://github.com/bcgit/bc-java/commit/2c28b253a44681fbbc562561eab6ad383d2ae558; https://github.com/bcgit/bc-java/wiki/CVE%E2%80%902026%E2%80%908763; https://github.com/bcgit/bc-java/wiki/CVE-2026-8763","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-c2gf-v879-257j","CVE-2026-48043","6/11/2026 1:28:46 PM","2026-09-18T15:45:05.615379396Z","netty-codec-http2: ByteBuf Reference-Count Leak in DelegatingDecompressorFrameListener Leads to Memory Exhaustion","MODERATE","io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-codec-http2:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-c2gf-v879-257j","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-c3fc-8qff-9hwx","CVE-2026-0636","4/17/2026 6:31:50 PM","2026-09-10T03:51:01.534612930Z","Bouncy Castle has an LDAP injection","MODERATE","org.bouncycastle:bcprov-jdk18on:1.78.1; org.bouncycastle:bcprov-jdk18on:1.79","org.bouncycastle:bcprov-jdk18on:1.78.1","Update through WP5a; direct source uses Argon2 only; affected GOST/LDAP/PKIX/ASN.1 paths not identified; transitive/R8 reachability remains open","https://github.com/bcgit/bc-java/commit/d20cdb8430e09224114fec0179a71859929fcbde; https://github.com/bcgit/bc-java/wiki/CVE%E2%80%902026%E2%80%900636","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-c4c3-7fpv-j4q5","CVE-2026-75595","9/8/2026 6:16:14 PM","2026-09-08T18:27:48.571082951Z","Netty: SNI Routing Bypass via Fragmented TLS ClientHello Causing Fallback to Default SslContext","CRITICAL","io.netty:netty-handler:4.1.110.Final; io.netty:netty-handler:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-c4c3-7fpv-j4q5","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-c653-97m9-rcg9","CVE-2026-50010","6/15/2026 8:45:45 PM","2026-09-10T03:51:08.552933314Z","Netty: Wrapping plain trust manager silently disables hostname verification","HIGH","io.netty:netty-handler:4.1.110.Final; io.netty:netty-handler:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-c653-97m9-rcg9","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-c69g-56f8-xwqj","CVE-2026-59900","7/22/2026 9:49:28 PM","2026-09-10T03:51:11.564389466Z","Netty: [codec-http2] Lack of Host Header Deduplication in HTTP/2→HTTP/1.x Translation Leads to Request Routing Bypass","MODERATE","io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-codec-http2:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-c69g-56f8-xwqj","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-f6hv-jmp6-3vwv","CVE-2026-42587","5/7/2026 12:46:35 AM","2026-09-10T03:51:05.447415711Z","Netty: HttpContentDecompressor maxAllocation bypass when Content-Encoding set to br/zstd/snappy leads to decompression bomb DoS","HIGH","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final; io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-codec-http2:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-f6hv-jmp6-3vwv","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-fccg-mwvh-qqg4","CVE-2026-75596","9/8/2026 6:14:56 PM","2026-09-08T18:27:48.113951573Z","Netty: Fragmented ClientHello records trigger quadratic pre-handshake reassembly in default SNI parsing","MODERATE","io.netty:netty-handler:4.1.110.Final; io.netty:netty-handler:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-fccg-mwvh-qqg4","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-fghv-69vj-qj49","CVE-2025-58056","9/4/2025 5:35:20 PM","2026-09-10T03:50:28.333050757Z","Netty vulnerable to request smuggling due to incorrect parsing of chunk extensions","LOW","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-fghv-69vj-qj49","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-gcjf-9mgh-3p7g","CVE-2026-59921","7/22/2026 9:52:55 PM","2026-09-10T03:50:52.172506654Z","Netty: CRLF Injection via Multipart Filename in Netty HttpPostRequestEncoder","MODERATE","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-gcjf-9mgh-3p7g","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-hvcg-qmg6-jm4c","CVE-2026-50020","6/15/2026 8:46:36 PM","2026-09-10T03:50:50.025404342Z","Netty: HttpObjectDecoder skips arbitrary initial control characters when only initial CRLF characters are permitted","MODERATE","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-hvcg-qmg6-jm4c","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-jppx-w49h-x2qq","CVE-2026-56745","7/22/2026 9:32:24 PM","2026-09-10T03:50:12.368445504Z","Netty: [SpdyHttpDecoder] ByteBuf Reference Leak on RST_STREAM Leads to Native Memory Exhaustion","HIGH","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-jppx-w49h-x2qq","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-m4cv-j2px-7723","CVE-2026-42580","5/7/2026 12:13:05 AM","2026-09-10T03:51:06.379210477Z","Netty vulnerable to HTTP Request Smuggling due to incorrect chunk size parsing","MODERATE","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-m4cv-j2px-7723","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-mj4r-2hfc-f8p6","CVE-2026-42583","5/7/2026 12:20:35 AM","2026-09-10T03:51:06.526589004Z","Netty Lz4FrameDecoder is vulnerable to resource exhaustion ","HIGH","io.netty:netty-codec:4.1.110.Final; io.netty:netty-codec:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-mj4r-2hfc-f8p6","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-mvh2-crg5-v77c","CVE-2026-55833","7/22/2026 9:23:05 PM","2026-09-10T03:50:52.830435122Z","Netty SPDY zlib header block continues decoded expansion after maxHeaderSize truncation","HIGH","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-mvh2-crg5-v77c","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-prj3-ccx8-p6x4","CVE-2025-55163","8/13/2025 7:06:56 PM","2026-09-10T03:50:27.396257754Z","Netty affected by MadeYouReset HTTP/2 DDoS vulnerability","HIGH","io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-codec-http2:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-prj3-ccx8-p6x4","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-pwqr-wmgm-9rr8","CVE-2026-33870","3/26/2026 6:48:55 PM","2026-09-10T03:50:40.493461444Z","Netty: HTTP Request Smuggling via Chunked Extension Quoted-String Parsing","HIGH","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-pwqr-wmgm-9rr8","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-q4f6-jm68-57ww","CVE-2026-59899","7/22/2026 9:49:13 PM","2026-09-10T03:50:52.883743437Z","Netty: [HttpContentEncoder] Unbounded Per-Connection Queue Growth via HTTP/1.1 Pipelining Leads to Denial of Service","MODERATE","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-q4f6-jm68-57ww","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-qp49-qgx5-5m26","CVE-2026-13506","8/3/2026 6:31:44 AM","2026-09-18T17:45:06.096277818Z","Bouncy Castle: Lazy ASN.1 sequence forcing resets nesting-depth guard","HIGH","org.bouncycastle:bcprov-jdk18on:1.78.1; org.bouncycastle:bcprov-jdk18on:1.79","org.bouncycastle:bcprov-jdk18on:1.78.1","Update through WP5a; direct source uses Argon2 only; affected GOST/LDAP/PKIX/ASN.1 paths not identified; transitive/R8 reachability remains open","https://github.com/bcgit/bc-java/commit/77454da9b3dcaaa2991412d1c3c1a6e1a338ff84; https://github.com/bcgit/bc-java/wiki/CVE-2026-13506","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-r937-wjx7-w2jp","CVE-2026-53914","6/26/2026 3:32:13 PM","8/12/2026 7:40:59 PM","JetBrains Kotlin: Unsafe Deserialization in Kotlin Build Cache Enables Code Execution","MODERATE","org.jetbrains.kotlin:kotlin-gradle-plugin:2.1.0","","Investigate WP3/WP0a: maintainer patch is KAPT cache; project uses KSP and no KAPT plugin/config found; do not call 2.3.21 a fixed version; validate task graph/cache trust before disposition","https://github.com/JetBrains/kotlin/commit/bf51df665b458fda7c3eaf436c4d88dc119d7ec6","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-v8h7-rr48-vmmv","CVE-2026-41417","5/5/2026 6:27:35 PM","2026-09-10T03:50:47.637727522Z","Netty: Start-Line Injection in DefaultHttpRequest.setUri() Allows HTTP Request Smuggling and RTSP Request Injection","MODERATE","io.netty:netty-codec-http:4.1.110.Final; io.netty:netty-codec-http:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-v8h7-rr48-vmmv","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-w9fj-cfpg-grvv","CVE-2026-33871","3/26/2026 6:49:21 PM","2026-09-10T03:50:41.535305906Z","Netty HTTP/2 CONTINUATION Frame Flood DoS via Zero-Byte Frame Bypass","HIGH","io.netty:netty-codec-http2:4.1.110.Final; io.netty:netty-codec-http2:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-w9fj-cfpg-grvv","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-wg6q-6289-32hp","CVE-2026-5588","4/15/2026 6:31:54 PM","2026-09-10T03:50:45.075900186Z","Bouncy Castle Crypto Package For Java: Use of a Broken or Risky Cryptographic Algorithm vulnerability in bcpkix modules","MODERATE","org.bouncycastle:bcpkix-jdk18on:1.79","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/bcgit/bc-java/commit/656bae0dbd9b1521f840521ff786e78749fe3057; https://github.com/bcgit/bc-java/wiki/CVE%E2%80%902026%E2%80%905588","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
"GHSA-x4gw-5cx5-pgmh","CVE-2026-45416","6/8/2026 11:01:04 PM","2026-09-10T03:50:12.401611631Z","Netty: SNI handler pre-allocates up to 16 MiB from nine attacker bytes","HIGH","io.netty:netty-handler:4.1.110.Final; io.netty:netty-handler:4.1.93.Final","","Version-range match; investigate build/test reachability and qualify parent update (WP0a); no exploit demonstrated","https://github.com/netty/netty/security/advisories/GHSA-x4gw-5cx5-pgmh","2026-09-25","OSV record retrieved; primary-source family review in report; not per-advisory exploit verification"
