"coordinate","osvMatches","disposition"
"androidx.viewpager:viewpager:1.0.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"com.google.auto.value:auto-value-annotations:1.6.3","","Retain pending scoped work packages; no OSV match is not security clearance"
"com.google.code.findbugs:jsr305:3.0.2","","Retain pending scoped work packages; no OSV match is not security clearance"
"com.google.code.gson:gson:2.8.9","","Retain pending scoped work packages; no OSV match is not security clearance"
"com.google.crypto.tink:tink-android:1.8.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"com.google.dagger:dagger-lint-aar:2.56.2","","Retain pending scoped work packages; no OSV match is not security clearance"
"com.google.dagger:dagger:2.56.2","","Retain pending scoped work packages; no OSV match is not security clearance"
"com.google.dagger:hilt-android:2.56.2","","Retain pending scoped work packages; no OSV match is not security clearance"
"com.google.dagger:hilt-core:2.56.2","","Retain pending scoped work packages; no OSV match is not security clearance"
"com.google.guava:listenablefuture:1.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"jakarta.inject:jakarta.inject-api:2.0.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"javax.inject:javax.inject:1","","Retain pending scoped work packages; no OSV match is not security clearance"
"net.zetetic:sqlcipher-android:4.6.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"org.bouncycastle:bcprov-jdk18on:1.78.1","GHSA-574f-3g2m-x479; GHSA-9pwp-9qqc-pr26; GHSA-c3fc-8qff-9hwx; GHSA-qp49-qgx5-5m26","Investigate applicability; qualify parent/library remedy under report WP0a/WP3/WP5; not accepted risk"
"org.jetbrains:annotations:23.0.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"org.jetbrains.kotlin:kotlin-stdlib-common:2.1.10","","Retain pending scoped work packages; no OSV match is not security clearance"
"org.jetbrains.kotlin:kotlin-stdlib-jdk7:1.8.22","","Retain pending scoped work packages; no OSV match is not security clearance"
"org.jetbrains.kotlin:kotlin-stdlib-jdk8:1.8.22","","Retain pending scoped work packages; no OSV match is not security clearance"
"org.jetbrains.kotlin:kotlin-stdlib:2.1.10","","Retain pending scoped work packages; no OSV match is not security clearance"
"org.jetbrains.kotlinx:kotlinx-coroutines-android:1.9.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"org.jetbrains.kotlinx:kotlinx-coroutines-bom:1.9.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"org.jetbrains.kotlinx:kotlinx-coroutines-core-jvm:1.9.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"org.jetbrains.kotlinx:kotlinx-coroutines-core:1.9.0","","Retain pending scoped work packages; no OSV match is not security clearance"
"org.jspecify:jspecify:1.0.0","","Retain pending scoped work packages; no OSV match is not security clearance"
