"coordinate","configurations","parents","osvMatches","disposition"
"androidx.compose.material:material-icons-extended:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","project :app","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material:material-ripple-android:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.material:material-ripple:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material:material-ripple:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.material3:material3-android:1.3.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material3:material3-android:1.3.1",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.material3:material3:1.3.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.material3:material3:1.3.1",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","project :app","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.runtime:runtime-android:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.runtime:runtime:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.runtime:runtime-saveable-android:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.runtime:runtime-saveable:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.runtime:runtime-saveable:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.activity:activity-compose:1.9.3; androidx.compose.ui:ui-android:1.7.6; androidx.compose.ui:ui-test-junit4-android:1.7.6; androidx.compose.ui:ui-text-android:1.7.6; androidx.navigation:navigation-compose:2.5.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.runtime:runtime:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.activity:activity-compose:1.9.3; androidx.compose.animation:animation-android:1.7.6; androidx.compose.animation:animation-core-android:1.7.6; androidx.compose.foundation:foundation-android:1.7.6; androidx.compose.foundation:foundation-layout-android:1.7.6; androidx.compose.material:material-ripple-android:1.7.6; androidx.compose.material3:material3-android:1.3.1; androidx.compose.runtime:runtime-saveable-android:1.7.6; androidx.compose.ui:ui-android:1.7.6; androidx.compose.ui:ui-geometry-android:1.7.6; androidx.compose.ui:ui-graphics-android:1.7.6; androidx.compose.ui:ui-test-android:1.7.6; androidx.compose.ui:ui-text-android:1.7.6; androidx.compose.ui:ui-tooling-preview-android:1.7.6; androidx.compose.ui:ui-unit-android:1.7.6; androidx.hilt:hilt-navigation-compose:1.2.0; androidx.lifecycle:lifecycle-runtime-compose-android:2.8.7; androidx.lifecycle:lifecycle-viewmodel-compose-android:2.8.7; androidx.navigation:navigation-compose:2.5.1","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-android:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.ui:ui:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-geometry-android:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.ui:ui-geometry:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-geometry:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.animation:animation-android:1.7.6; androidx.compose.ui:ui-android:1.7.6; androidx.compose.ui:ui-unit-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-graphics-android:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.ui:ui-graphics:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
"androidx.compose.ui:ui-graphics:1.7.6",":app/project/devDebugAndroidTestCompileClasspath; :app/project/devDebugAndroidTestRuntimeClasspath; :app/project/devDebugCompileClasspath; :app/project/devDebugRuntimeClasspath; :app/project/devDebugUnitTestCompileClasspath; :app/project/devDebugUnitTestRuntimeClasspath; :app/project/devReleaseCompileClasspath; :app/project/devReleaseRuntimeClasspath; :app/project/devReleaseUnitTestCompileClasspath; :app/project/devReleaseUnitTestRuntimeClasspath; :app/project/prodDebugAndroidTestCompileClasspath; :app/project/prodDebugAndroidTestRuntimeClasspath; :app/project/prodDebugCompileClasspath; :app/project/prodDebugRuntimeClasspath; :app/project/prodDebugUnitTestCompileClasspath; :app/project/prodDebugUnitTestRuntimeClasspath; :app/project/prodReleaseCompileClasspath; :app/project/prodReleaseRuntimeClasspath; :app/project/prodReleaseUnitTestCompileClasspath; :app/project/prodReleaseUnitTestRuntimeClasspath; :app/project/qaDebugAndroidTestCompileClasspath; :app/project/qaDebugAndroidTestRuntimeClasspath; :app/project/qaDebugCompileClasspath; :app/project/qaDebugRuntimeClasspath; :app/project/qaDebugUnitTestCompileClasspath; :app/project/qaDebugUnitTestRuntimeClasspath; :app/project/qaReleaseCompileClasspath; :app/project/qaReleaseRuntimeClasspath; :app/project/qaReleaseUnitTestCompileClasspath; :app/project/qaReleaseUnitTestRuntimeClasspath; :app/project/stagingDebugAndroidTestCompileClasspath; :app/project/stagingDebugAndroidTestRuntimeClasspath; :app/project/stagingDebugCompileClasspath; :app/project/stagingDebugRuntimeClasspath; :app/project/stagingDebugUnitTestCompileClasspath; :app/project/stagingDebugUnitTestRuntimeClasspath; :app/project/stagingReleaseCompileClasspath; :app/project/stagingReleaseRuntimeClasspath; :app/project/stagingReleaseUnitTestCompileClasspath; :app/project/stagingReleaseUnitTestRuntimeClasspath","androidx.compose.animation:animation-android:1.7.6; androidx.compose.animation:animation-core-android:1.7.6; androidx.compose.ui:ui-android:1.7.6; androidx.compose.ui:ui-test-android:1.7.6; androidx.compose.ui:ui-text-android:1.7.6","","Retain pending scoped work packages; no OSV match is not security clearance"
