"group","artifact","version","evidence"
"androidx.compose.foundation","foundation-layout","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.foundation","foundation-layout-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.material","material-icons-core","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.material","material-icons-core-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.material","material-icons-extended","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.material","material-icons-extended-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.material","material-ripple","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.material","material-ripple-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.material3","material3","1.3.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.material3","material3-android","1.3.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.runtime","runtime","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.runtime","runtime-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.runtime","runtime-saveable","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.runtime","runtime-saveable-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-geometry","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-geometry-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-graphics","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-graphics-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-text","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-text-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-tooling-preview","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-tooling-preview-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-unit","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-unit-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-util","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.compose.ui","ui-util-android","1.7.6","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.concurrent","concurrent-futures","1.1.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.concurrent","concurrent-futures-ktx","1.1.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.core","core","1.15.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.core","core-ktx","1.15.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.cursoradapter","cursoradapter","1.0.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.customview","customview","1.0.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.customview","customview-poolingcontainer","1.0.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.drawerlayout","drawerlayout","1.0.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.emoji2","emoji2","1.3.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.exifinterface","exifinterface","1.3.2","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.fragment","fragment","1.5.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.graphics","graphics-path","1.0.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.hilt","hilt-navigation","1.2.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.hilt","hilt-navigation-compose","1.2.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.interpolator","interpolator","1.0.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-common","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-common-java8","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-common-jvm","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-livedata","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-livedata-core","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-livedata-core-ktx","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-process","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-runtime","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-runtime-android","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-runtime-compose","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-runtime-compose-android","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-runtime-ktx","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-runtime-ktx-android","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-viewmodel","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-viewmodel-android","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-viewmodel-compose","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-viewmodel-compose-android","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-viewmodel-ktx","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.lifecycle","lifecycle-viewmodel-savedstate","2.8.7","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.loader","loader","1.0.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.navigation","navigation-common","2.5.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.navigation","navigation-common-ktx","2.5.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.navigation","navigation-compose","2.5.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.navigation","navigation-runtime","2.5.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.navigation","navigation-runtime-ktx","2.5.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.profileinstaller","profileinstaller","1.3.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.room","room-common","2.6.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.room","room-ktx","2.6.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.room","room-runtime","2.6.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.savedstate","savedstate","1.2.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.savedstate","savedstate-ktx","1.2.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.security","security-crypto","1.1.0-alpha06","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.sqlite","sqlite","2.4.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.sqlite","sqlite-framework","2.4.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.sqlite","sqlite-ktx","2.4.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.startup","startup-runtime","1.1.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.tracing","tracing","1.2.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.tracing","tracing-ktx","1.2.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.vectordrawable","vectordrawable","1.1.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.vectordrawable","vectordrawable-animated","1.1.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.versionedparcelable","versionedparcelable","1.1.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"androidx.viewpager","viewpager","1.0.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"com.google.auto.value","auto-value-annotations","1.6.3","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"com.google.code.findbugs","jsr305","3.0.2","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"com.google.code.gson","gson","2.8.9","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"com.google.crypto.tink","tink-android","1.8.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"com.google.dagger","dagger","2.56.2","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"com.google.dagger","dagger-lint-aar","2.56.2","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"com.google.dagger","hilt-android","2.56.2","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"com.google.dagger","hilt-core","2.56.2","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"com.google.guava","listenablefuture","1.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"jakarta.inject","jakarta.inject-api","2.0.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"javax.inject","javax.inject","1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"net.zetetic","sqlcipher-android","4.6.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.bouncycastle","bcprov-jdk18on","1.78.1","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.jetbrains","annotations","23.0.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.jetbrains.kotlin","kotlin-stdlib","2.1.10","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.jetbrains.kotlin","kotlin-stdlib-common","2.1.10","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.jetbrains.kotlin","kotlin-stdlib-jdk7","1.8.22","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.jetbrains.kotlin","kotlin-stdlib-jdk8","1.8.22","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.jetbrains.kotlinx","kotlinx-coroutines-android","1.9.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.jetbrains.kotlinx","kotlinx-coroutines-bom","1.9.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.jetbrains.kotlinx","kotlinx-coroutines-core","1.9.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.jetbrains.kotlinx","kotlinx-coroutines-core-jvm","1.9.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
"org.jspecify","jspecify","1.0.0","Historical license report; file timestamp 2026-09-05; not fresh resolution"
